Gene	Orientation of counted reads relative to the strand location of the annotation	Sequence name	Source	Feature	Start	End	Score	Strand	Frame	Attributes	Grad-48-Fraction-01	Grad-48-Fraction-02	Grad-48-Fraction-03	Grad-48-Fraction-04	Grad-48-Fraction-05	Grad-48-Fraction-06	Grad-48-Fraction-07	Grad-48-Fraction-08	Grad-48-Fraction-09	Grad-48-Fraction-10	Grad-48-Fraction-11	Grad-48-Fraction-12	Grad-48-Fraction-13	Grad-48-Fraction-14	Grad-48-Fraction-15	Grad-48-Fraction-16	Grad-48-Fraction-17	Grad-48-Fraction-18	Grad-48-Fraction-19	Grad-48-Fraction-20	Grad-48-Fraction-21P	Cluster_label
yagF	sense	NC_000913.3	RefSeq	CDS	283201	285168	.	+	0	ID=cds263;Parent=gene275;Dbxref=ASAP:ABE-0000923,UniProtKB/Swiss-Prot:P77596,Genbank:NP_414803.1,EcoGene:EG13345,GeneID:944928;Name=NP_414803.1;Note=putative dehydratase;gbkey=CDS;gene=yagF;product=CP4-6 prophage%3B dehydratase family protein;protein_id=NP_414803.1;transl_table=11	0.002497717904737504	0.017367234412069454	0.04927888674242442	0.07800431138688736	0.059268233125417215	0.08665822481301529	0.015589056965890328	0.0025050958956496627	0.07742295608936614	0.09971965005771216	0.08544778887736121	0.06583488489663603	0.048172114395623834	0.04515012943738273	0.05208289404851793	0.051546182986432265	0.045430874504943417	0.055013720479683115	0.027695886362522282	0.01684703715957612	1.0	0
yagG	sense	NC_000913.3	RefSeq	CDS	285395	286777	.	+	0	ID=cds264;Parent=gene276;Dbxref=ASAP:ABE-0000929,UniProtKB/Swiss-Prot:P75683,Genbank:NP_414804.1,EcoGene:EG13346,GeneID:944947;Name=NP_414804.1;Note=putative permease;gbkey=CDS;gene=yagG;product=CP4-6 prophage%3B putative sugar transporter;protein_id=NP_414804.1;transl_table=11	0.004190250432289891	0.06222417561882442	0.14629669501657244	0.20343169844648454	0.11613780312741845	0.1989742608921723	0.031056324424234637	0.00614230243644869	0.1245248806368532	0.24866315798830005	0.19126743472372806	0.15837637404379426	0.07874287930053896	0.08661613372970124	0.10921988472345454	0.08401881388768609	0.04060119041621694	0.06550663914876058	0.02536799936222406	0.013369277413978971	1.0	3
yagH	sense	NC_000913.3	RefSeq	CDS	286789	288399	.	+	0	ID=cds265;Parent=gene277;Dbxref=ASAP:ABE-0000931,UniProtKB/Swiss-Prot:P77713,Genbank:NP_414805.1,EcoGene:EG13347,GeneID:944949;Name=NP_414805.1;Note=putative beta-xylosidase;gbkey=CDS;gene=yagH;product=CP4-6 prophage%3B putative xylosidase/arabinosidase;protein_id=NP_414805.1;transl_table=11	0.001146051400284415	0.010563255277466214	0.028430126966783306	0.04636619907612183	0.04446985965904569	0.05281971329867622	0.016381357938057832	0.0025199189482866427	0.08359712266530005	0.1064511178010114	0.09730117704919912	0.10558424936252947	0.03499683524468398	0.046468616123232206	0.03285931574585982	0.034469256979563524	0.011104599088196086	0.031009059952076017	0.015611076530599422	0.008684316952670102	1.0	0
yagI	sense	NC_000913.3	RefSeq	CDS	288404	289162	.	-	0	ID=cds266;Parent=gene278;Dbxref=ASAP:ABE-0000933,UniProtKB/Swiss-Prot:P77300,Genbank:NP_414806.1,EcoGene:EG13349,GeneID:945016;Name=NP_414806.1;Note=putative regulator;Ontology_term=GO:0006350,GO:0016564;gbkey=CDS;gene=yagI;go_function=transcription repressor activity|0016564||;go_process=transcription|0006350||;product=CP4-6 prophage%3B putative DNA-binding transcriptional regulator;protein_id=NP_414806.1;transl_table=11	0.0023524212953206416	0.036137452265015996	0.23991036966706625	0.32993211132061445	0.2282005956187872	0.3843960953458686	0.07472198357710591	0.018103628233743514	0.5624473077568873	0.4643229677767801	0.3994469373598701	0.3223098138435111	0.1989293792855722	0.15149056587542892	0.10423792506940224	0.1415053707582082	0.1652539680098655	0.12305700633613327	0.06195132475827352	0.030960431906056574	1.0	4
argF	sense	NC_000913.3	RefSeq	CDS	289301	290305	.	-	0	ID=cds267;Parent=gene279;Dbxref=ASAP:ABE-0000939,UniProtKB/Swiss-Prot:P06960,Genbank:NP_414807.1,EcoGene:EG10067,GeneID:944844;Name=NP_414807.1;Note=ornithine carbamoyltransferase 2%2C chain F;Ontology_term=GO:0005737,GO:0006526;gbkey=CDS;gene=argF;go_component=cytoplasm|0005737||;go_process=arginine biosynthetic process|0006526||;product=ornithine carbamoyltransferase 2%2C chain F%3B CP4-6 prophage;protein_id=NP_414807.1;transl_table=11	0.0	0.007629017700392269	0.046932273088023266	0.04975166758009266	0.03932708677330573	0.10106629124681772	0.02140844132645653	0.0027299121939771964	0.1437516659588493	0.14277967387595975	0.12435419248069693	0.09385266610002624	0.07665973434549826	0.09137526195660793	0.08876282694985514	0.056901630569438234	0.07217989407327459	0.07422486096465182	0.048964265435657885	0.017542755548501515	1.0	0
ykgS	sense	NC_000913.3	RefSeq	CDS	290429	290633	.	+	0	ID=cds268;Parent=gene280;Dbxref=EcoGene:EG14492,GeneID:7751632;Note=pseudogene;gbkey=CDS;gene=ykgS;pseudo=true;transl_table=11	0.009944649935781737	0.14937299590666525	0.420298916695828	0.5543270543270542	0.6615068851329284	1.0	0.24392992663368654	0.04373226506426306	0.9492871016092836	0.8125226566691212	0.8049722909651162	0.42807638668211945	0.14535043710078008	0.17393927181803245	0.09216344567486366	0.08123720776204325	0.12847748432214642	0.12756167405180044	0.058198592517274064	0.019389992252681273	0.3461037645369633	1
insB1	sense	NC_000913.3	RefSeq	CDS	290649	291152	.	-	0	ID=cds269;Parent=gene281;Dbxref=ASAP:ABE-0000948,UniProtKB/Swiss-Prot:P0CF27,Genbank:NP_414808.1,EcoGene:EG40002,GeneID:944950;Name=NP_414808.1;gbkey=CDS;gene=insB1;product=IS1 transposase B;protein_id=NP_414808.1;transl_table=11	0.0055721809462104315	0.05409115202426668	0.10260988353528692	0.27205767016527216	0.3844561758700749	0.5732346314734076	0.14084201997318693	0.03095590087334884	0.5083089412637212	0.5891518761055974	0.5532854472475041	0.3304758998614981	0.189929774298736	0.16061363463283515	0.14338610507284294	0.2076079385895552	0.13210643742853972	0.1608194005790425	0.06438223286412731	0.01796755231586919	1.0	4
insA	sense	NC_000913.3	RefSeq	CDS	291071	291346	.	-	0	ID=cds270;Parent=gene282;Dbxref=ASAP:ABE-0000951,UniProtKB/Swiss-Prot:P0CF09,Genbank:NP_414809.1,EcoGene:EG40001,GeneID:944951;Name=NP_414809.1;gbkey=CDS;gene=insA;product=IS1 repressor TnpA;protein_id=NP_414809.1;transl_table=11	0.00463467093268428	0.0556165143364179	0.16554626015033214	0.3807152316128544	0.30776517828765965	0.5982528245274027	0.1393904639092926	0.02181215353852519	0.6745955310533689	0.7921838155674712	0.601414366565847	0.3029548064095316	0.20520871575291974	0.13234702951006813	0.1400000340546101	0.16973497755088127	0.1584061595784222	0.14567210663850266	0.06641803469382303	0.026282784007026855	1.0	1
yagJ	sense	NC_000913.3	RefSeq	CDS	291404	292231	.	+	0	ID=cds271;Parent=gene283;Dbxref=ASAP:ABE-0000963,UniProtKB/Swiss-Prot:P77169,EcoGene:EG13549,GeneID:949094;Note=CP4-6 prophage%3B uncharacterized protein%3BPhage or Prophage Related;gbkey=CDS;gene=yagJ;pseudo=true;transl_table=11	0.0005079091433078656	0.02028625161240671	0.17919595179063422	0.4548102618466862	0.4673666744036718	0.74907957041759	0.1935978665406834	0.04299611705514084	0.8809363456623664	0.990721198625322	0.767851810672712	0.5231219627507143	0.3531498829236292	0.2422828915516118	0.15886528687047932	0.1833137757549515	0.12303391035217255	0.10994121255736043	0.042433744387720254	0.009723110846530162	1.0	1
yagK	sense	NC_000913.3	RefSeq	CDS	292322	292948	.	-	0	ID=cds272;Parent=gene284;Dbxref=ASAP:ABE-0000965,UniProtKB/Swiss-Prot:P77657,Genbank:NP_414811.1,EcoGene:EG13550,GeneID:945847;Name=NP_414811.1;gbkey=CDS;gene=yagK;product=CP4-6 prophage%3B conserved protein;protein_id=NP_414811.1;transl_table=11	0.0024831113672828986	0.0457741062023536	0.1368857965067345	0.2946829541282411	0.38540545037839596	0.374539785208795	0.039436602443472565	0.002729912193977196	0.28175326527934463	0.3459661328532871	0.38083471447213424	0.04692633305001312	0.09332489398582396	0.023689882729490942	0.02588915786037441	0.03319261783217228	0.04811992938218305	0.03583269150017673	0.0	0.0039612673819196965	1.0	4
yagN	sense	NC_000913.3	RefSeq	CDS	295139	295579	.	-	0	ID=cds275;Parent=gene287;Dbxref=ASAP:ABE-0000976,UniProtKB/Swiss-Prot:P71297,Genbank:NP_414814.1,EcoGene:EG13553,GeneID:945349;Name=NP_414814.1;gbkey=CDS;gene=yagN;product=CP4-6 prophage%3B uncharacterized protein;protein_id=NP_414814.1;transl_table=11	0.0	0.0008547032278447769	0.005111917711869753	0.02200951524609269	0.02981352179868446	0.062164279702704564	0.015316456384684778	0.004791505635072008	0.2164506412578724	0.4048234417619376	0.3433607591654513	0.2611129154359651	0.13853519013870755	0.09023781056295717	0.09281424228781532	0.10164378406698403	0.118602647522891	0.15522543537835898	0.1017246248284371	0.03653899331953313	1.0	3
intF	sense	NC_000913.3	RefSeq	CDS	295696	297096	.	-	0	ID=cds276;Parent=gene288;Dbxref=ASAP:ABE-0000979,UniProtKB/Swiss-Prot:P71298,Genbank:NP_414815.1,EcoGene:EG13554,GeneID:947351;Name=NP_414815.1;Note=putative phage integrase;gbkey=CDS;gene=intF;product=CP4-6 prophage%3B putative phage integrase;protein_id=NP_414815.1;transl_table=11	0.0005197209838499091	0.002737321965589252	0.0098230339021444	0.02723436543740313	0.026340002303981504	0.04355113781497617	0.010848341137274179	0.0022038826017822537	0.06017511598277413	0.1126401362778144	0.09353676541971023	0.05261673556272234	0.05371607270114286	0.04250012184028275	0.037930626632641566	0.023819287215113675	0.028776037504295512	0.037499328314138464	0.022923906400415108	0.016818935927220502	1.0	0
ptwF	sense	NC_000913.3	RefSeq	tRNA	297206	297254	.	+	.	ID=rna12;Parent=gene289;Dbxref=EcoGene:EG31171,GeneID:5625555;gbkey=tRNA;gene=ptwF;product=tRNA-OTHER;pseudo=true	0.1316614503798134	0.2794126931976378	1.0	0.7075926072077027	0.27706544119118165	0.3698049362579092	0.04762919933414274	0.004154789770687438	0.08497243326036688	0.02264701695131668	0.037394282627475066	0.06565989139212379	0.01718175232555711	0.01977199598813548	0.02542064704789393	0.013036775117335994	0.02008087295234853	0.01231448210521711	0.007528029109874725	0.0054454135870189635	0.6491471180960806	2
paoD	sense	NC_000913.3	RefSeq	CDS	297770	298726	.	-	0	ID=cds279;Parent=gene292;Dbxref=ASAP:ABE-0000984,UniProtKB/Swiss-Prot:P77183,Genbank:NP_414817.1,EcoGene:EG13556,GeneID:945010;Name=NP_414817.1;gbkey=CDS;gene=paoD;product=moco insertion factor for PaoABC aldehyde oxidoreductase;protein_id=NP_414817.1;transl_table=11	0.0	0.0441393166951267	0.14079681926406978	0.2927694284520837	0.2300634576238385	0.21402273440502573	0.08112672502657213	0.008774717766355276	0.33637889834370743	0.5436610659123083	0.4022080913047541	0.21116849872505905	0.2549769424969833	0.13706289293491186	0.2496454507964676	0.10669055731769664	0.1392040814270296	0.1497294609114528	0.06958079825067172	0.025465290312340908	1.0	4
paoC	sense	NC_000913.3	RefSeq	CDS	298736	300934	.	-	0	ID=cds280;Parent=gene293;Dbxref=ASAP:ABE-0000988,UniProtKB/Swiss-Prot:P77489,Genbank:NP_414818.1,EcoGene:EG13557,GeneID:944961;Name=NP_414818.1;gbkey=CDS;gene=paoC;product=PaoABC aldehyde oxidoreductase%2C Moco-containing subunit;protein_id=NP_414818.1;transl_table=11	0.0051081148126962475	0.025502716312739857	0.07039840963203485	0.13088515624916675	0.10618313428792542	0.19262046096452312	0.04461969876461465	0.004211864527850532	0.18630215908266867	0.2767729062826296	0.25881216310045035	0.15083464194647067	0.1019907769987933	0.12183368260881053	0.05991490819115219	0.13656391336665166	0.06805532869765886	0.04607060335737009	0.04174847895040303	0.01833500902488545	1.0	3
paoB	sense	NC_000913.3	RefSeq	CDS	300931	301887	.	-	0	ID=cds281;Parent=gene294;Dbxref=ASAP:ABE-0000990,UniProtKB/Swiss-Prot:P77324,Genbank:NP_414819.1,EcoGene:EG13558,GeneID:945710;Name=NP_414819.1;gbkey=CDS;gene=paoB;product=PaoABC aldehyde oxidoreductase%2C FAD-containing subunit;protein_id=NP_414819.1;transl_table=11	0.01763836497115916	0.08128717081155072	0.7778762305922886	0.5708811604276046	0.3910947074140541	0.14780447346948794	0.2241050309013312	0.01939147323435445	0.5718248703498694	0.8191707923816195	0.7729129989384455	1.0	0.414323578753214	0.42069276796467975	0.6436475117623047	0.9431127663237976	0.17090592230627322	0.12726575595976145	0.09610524113353916	0.1125527928408657	0.7892591351121286	5
yagU	sense	NC_000913.3	RefSeq	CDS	302991	303605	.	+	0	ID=cds283;Parent=gene296;Dbxref=ASAP:ABE-0000995,UniProtKB/Swiss-Prot:P0AAA1,Genbank:NP_414821.1,EcoGene:EG13560,GeneID:945677;Name=NP_414821.1;gbkey=CDS;gene=yagU;product=DUF1440 family inner membrane acid resistance protein;protein_id=NP_414821.1;transl_table=11	0.0001776000183222206	0.005001806306879699	0.029045171656130943	0.047262816965540896	0.042332613802206036	0.07986874889882913	0.01852214467080181	0.002082687978451477	0.08492581865468232	0.07331732616758402	0.055125554696534095	0.05146358114623955	0.03504318866884913	0.031910742696546084	0.029935410347161413	0.03561062310471464	0.041587091287250924	0.061722404365536214	0.03193343919716258	0.016196599215875632	1.0	0
ecpE	sense	NC_000913.3	RefSeq	CDS	304495	305205	.	-	0	ID=cds285;Parent=gene298;Dbxref=ASAP:ABE-0001000,UniProtKB/Swiss-Prot:P77263,Genbank:NP_414823.2,EcoGene:EG13561,GeneID:946631;Name=NP_414823.2;gbkey=CDS;gene=ecpE;product=ECP production pilus chaperone;protein_id=NP_414823.2;transl_table=11	0.007453375939931786	0.12213051249089454	0.3560961757730921	0.5360778951826969	0.5508779464991809	0.7078478925131833	0.20518159917217496	0.04370229410903509	0.4027230544978944	1.0	0.3810413466665386	0.5634215304437381	0.18675105987204998	0.11851368158663615	0.18132243307171084	0.2988956464780397	0.1925841526153981	0.17926066748982022	0.10829552408624626	0.06341466679811758	0.8893711796431532	1
ecpD	sense	NC_000913.3	RefSeq	CDS	305174	306817	.	-	0	ID=cds286;Parent=gene299;Dbxref=ASAP:ABE-0001002,UniProtKB/Swiss-Prot:P77694,Genbank:NP_414824.1,EcoGene:EG13562,GeneID:947349;Name=NP_414824.1;Note=putative receptor;gbkey=CDS;gene=ecpD;product=polymerized tip adhesin of ECP fibers;protein_id=NP_414824.1;transl_table=11	0.00609490971969439	0.034330579651765204	0.1343969638429757	0.2191856683598488	0.14640401848789725	0.1872698926043976	0.05807935996220505	0.011167822611724896	0.21405929894599565	0.4245947994108525	0.3672334746695581	0.2879570437159896	0.12407968859478873	0.1259871036068382	0.2224114016186712	0.1901031748569868	0.17716883090712854	0.18323535426226747	0.08486748877544055	0.03727192491169897	1.0	4
ecpC	sense	NC_000913.3	RefSeq	CDS	306807	309332	.	-	0	ID=cds287;Parent=gene300;Dbxref=ASAP:ABE-0001005,UniProtKB/Swiss-Prot:P77802,Genbank:NP_414825.1,EcoGene:EG13563,GeneID:947606;Name=NP_414825.1;Note=putative enzyme;gbkey=CDS;gene=ecpC;product=ECP production outer membrane protein;protein_id=NP_414825.1;transl_table=11	0.0018623335254621739	0.0228870531011768	0.24639443371212205	0.200920195996528	0.165173764447884	0.4057514339761945	0.05323941329868795	0.016379473163863175	0.3622541982163003	0.547779710351038	0.3876353343734224	0.22876587361881395	0.2274794290904459	0.17767412047118206	0.05825060518584242	0.02489446337412921	0.09022486759159323	0.09406081518796393	0.040588798979558506	0.005941901072879546	1.0	4
ykgL	sense	NC_000913.3	RefSeq	CDS	312112	312339	.	+	0	ID=cds291;Parent=gene304;Dbxref=ASAP:ABE-0001019,UniProtKB/Swiss-Prot:P56257,Genbank:NP_414829.1,EcoGene:EG14325,GeneID:944962;Name=NP_414829.1;gbkey=CDS;gene=ykgL;product=uncharacterized protein;protein_id=NP_414829.1;transl_table=11	0.0	0.004451635321910459	0.015974943845415233	0.04689586400290184	0.11244465431460857	0.12141613644517205	0.009204717005937788	0.006371763194518793	0.4227604778547355	0.9869490000450936	1.0	0.4654965827751762	0.25866762292117074	0.16588041533855027	0.045320024456031616	0.019368342789501662	0.042117947369793504	0.031363292384242125	0.005263136627581974	0.0069343597653386425	0.3890090438669508	5
ykgR	sense	NC_000913.3	RefSeq	CDS	313141	313242	.	-	0	ID=cds294;Parent=gene307;Dbxref=UniProtKB/Swiss-Prot:C1P5Z8,Genbank:YP_002791238.1,EcoGene:EG14476,GeneID:7751635;Name=YP_002791238.1;gbkey=CDS;gene=ykgR;product=uncharacterized protein;protein_id=YP_002791238.1;transl_table=11	0.0	0.010945981917954121	0.13926641905467768	0.17471321391002434	0.21544404058419656	0.20084017467717996	0.05143904666539899	0.009614038596180556	0.2415027988108668	0.25070009627049794	0.15966672811719915	0.17444354242504875	0.1278145287197154	0.10505947993078588	0.09117486029088376	0.09091890971421104	0.059626869017052914	0.1051611598374752	0.0905894933746668	0.03461803233764605	1.0	3
insE1	sense	NC_000913.3	RefSeq	CDS	315291	315590	.	+	0	ID=cds297;Parent=gene310;Dbxref=ASAP:ABE-0001028,UniProtKB/Swiss-Prot:P0CF66,Genbank:NP_414832.2,EcoGene:EG40005,GeneID:944952;Name=NP_414832.2;gbkey=CDS;gene=insE1;product=IS3 transposase A;protein_id=NP_414832.2;transl_table=11	0.0022189505835294053	0.018017467334969027	0.06116173886471135	0.07694816016888326	0.0615008697412336	0.17797280573751273	0.03373088123888509	0.010106483441532615	0.2055342968603124	0.26499533580251783	0.23961333099006624	0.1812155201824975	0.10573511924989644	0.09375145080181536	0.08758247020850088	0.0932218202946118	0.10289474261509372	0.12465202255912547	0.06793586212181428	0.03160585677063589	1.0	3
insF1	sense	NC_000913.3	RefSeq	CDS	315587	316453	.	+	0	ID=cds298;Parent=gene311;Dbxref=ASAP:ABE-0001030,UniProtKB/Swiss-Prot:P0CF79,Genbank:NP_414833.1,EcoGene:EG40006,GeneID:944948;Name=NP_414833.1;gbkey=CDS;gene=insF1;product=IS3 transposase B;protein_id=NP_414833.1;transl_table=11	0.0003909271540328737	0.009408380429346672	0.05315798278337288	0.06396642974583289	0.06067607673595692	0.12229870537429945	0.024627755811637755	0.003915792418183007	0.11195027699978866	0.1139771807942306	0.12419557743926647	0.08557557236962958	0.06060676424297993	0.04972803371788146	0.05298597323027023	0.06357886272809629	0.07386339014495383	0.06487493125833689	0.04465162336721081	0.02255497141950184	1.0	0
ykgA	sense	NC_000913.3	RefSeq	CDS	316486	317169	.	-	0	ID=cds299;Parent=gene312;Dbxref=ASAP:ABE-0001032,UniProtKB/Swiss-Prot:P77601,EcoGene:EG13381,GeneID:944956;Note=pseudogene%2C AraC family%3Bputative regulator%3B Not classified~putative ARAC-type regulatory protein;Ontology_term=GO:0006350,GO:0016564;gbkey=CDS;gene=ykgA;go_function=transcription repressor activity|0016564||;go_process=transcription|0006350||;pseudo=true;transl_table=11	0.0	0.006022908710836001	0.021613546816852812	0.02537939317850881	0.06520017017679633	0.08542135452130413	0.017435129501324708	0.0047414264421709205	0.057198031297310575	0.11532204428442905	0.10308308060899876	0.06668478907107127	0.03315489654759536	0.0561076169908996	0.05314090297655801	0.06813221555024837	0.04178835972663265	0.06789352073717697	0.039876714786934685	0.023767604291518182	1.0	0
rclA	sense	NC_000913.3	RefSeq	CDS	318676	320001	.	-	0	ID=cds303;Parent=gene316;Dbxref=ASAP:ABE-0001048,UniProtKB/Swiss-Prot:P77212,Genbank:NP_414838.2,EcoGene:EG13580,GeneID:946092;Name=NP_414838.2;Note=putative oxidoreductase;gbkey=CDS;gene=rclA;product=reactive chlorine stress species (RCS) resistance protein%3B pyridine nucleotide-dependent disulfide oxidoreductase family;protein_id=NP_414838.2;transl_table=11	0.0002692530398258565	0.000827242883175065	0.023748861080686464	0.03776331394633538	0.014925340160953373	0.02707516519581651	0.015394529146608563	0.0032561603277559323	0.04364508412244581	0.045850933269712735	0.04424499694813951	0.03053038535783985	0.03035870045321984	0.02311904218179236	0.019650806568717923	0.01079759857191147	0.02087129467179024	0.029141044292312412	0.015648693582480392	0.0051544202077991215	1.0	0
rclR	sense	NC_000913.3	RefSeq	CDS	320227	321081	.	+	0	ID=cds304;Parent=gene317;Dbxref=ASAP:ABE-0001054,UniProtKB/Swiss-Prot:P77379,Genbank:NP_414839.1,EcoGene:EG13581,GeneID:945616;Name=NP_414839.1;Note=putative ARAC-type regulatory protein;Ontology_term=GO:0006350,GO:0016563;gbkey=CDS;gene=rclR;go_function=transcription activator activity|0016563||;go_process=transcription|0006350||;product=reactive chlorine species (RCS)-specific activator of the rcl genes;protein_id=NP_414839.1;transl_table=11	0.001451168980879616	0.008025330308204851	0.03839913252656447	0.07514937200909097	0.04504739030396837	0.0583698366559161	0.012906524436045563	0.003509887106542109	0.07997819960619616	0.08087519988778137	0.06994923327039199	0.04936406463702679	0.03272431347554866	0.04707210464431315	0.03328606010619566	0.06207450607575076	0.03655864764750271	0.037694130019666434	0.028464872011638432	0.00787108973290537	1.0	0
ykgE	sense	NC_000913.3	RefSeq	CDS	321608	322327	.	+	0	ID=cds305;Parent=gene318;Dbxref=ASAP:ABE-0001058,UniProtKB/Swiss-Prot:P77252,Genbank:NP_414840.1,EcoGene:EG13582,GeneID:948438;Name=NP_414840.1;Note=putative dehydrogenase subunit;gbkey=CDS;gene=ykgE;product=cysteine-rich LutA family protein%3B putative electron transport chain YkgEFG component;protein_id=NP_414840.1;transl_table=11	0.0003291008162804763	0.004866000245165063	0.02505898290399401	0.05237054717553312	0.049027647523647126	0.07445981924077286	0.01757496815750521	0.003731173132127138	0.10452525645725737	0.17354030594113345	0.15097188404884426	0.10378645036279936	0.08126738639883821	0.0659348415775247	0.05886715553985732	0.0709371915382458	0.050024353646733334	0.06233206344715511	0.0305956984484661	0.01776828033666419	1.0	0
ykgF	sense	NC_000913.3	RefSeq	CDS	322338	323765	.	+	0	ID=cds306;Parent=gene319;Dbxref=ASAP:ABE-0001060,UniProtKB/Swiss-Prot:P77536,Genbank:NP_414841.1,EcoGene:EG13583,GeneID:944980;Name=NP_414841.1;gbkey=CDS;gene=ykgF;product=ferridoxin-like LutB family protein%3B putative electron transport chain YkgEFG component;protein_id=NP_414841.1;transl_table=11	0.00021959488282093665	0.0035031203726291022	0.01583033020826181	0.028065043250308674	0.026639419492870187	0.0457204650878461	0.009926219662642751	0.001968508112663829	0.058459010823265385	0.0817845109976308	0.07897046375169257	0.06069298687846082	0.046146620623092376	0.04318971817349368	0.05173428654071417	0.048603476111395136	0.03940432992775705	0.043937705053788134	0.024911643818141732	0.012375592143854565	1.0	0
ykgG	sense	NC_000913.3	RefSeq	CDS	323758	324453	.	+	0	ID=cds307;Parent=gene320;Dbxref=ASAP:ABE-0001062,UniProtKB/Swiss-Prot:P77433,Genbank:NP_414842.4,EcoGene:EG13584,GeneID:945906;Name=NP_414842.4;Note=putative transporter;gbkey=CDS;gene=ykgG;product=LutC family protein%3B putative electron transport chain YkgEFG component;protein_id=NP_414842.4;transl_table=11	0.00013634388539157349	0.002342019576909107	0.011752590848165555	0.01598000893283534	0.020131411390694683	0.03510661325584378	0.00698834968424264	0.0015739011234826928	0.042494044882278134	0.07464272084299982	0.06327631695175227	0.04684825262896484	0.03517152826587209	0.030686478710330613	0.03760604794027763	0.0387707449553826	0.03242690748716162	0.035728353380167895	0.021453757863294096	0.011419127685816759	1.0	0
betA	sense	NC_000913.3	RefSeq	CDS	325577	327247	.	-	0	ID=cds309;Parent=gene322;Dbxref=ASAP:ABE-0001070,UniProtKB/Swiss-Prot:P17444,Genbank:NP_414845.1,EcoGene:EG10109,GeneID:945716;Name=NP_414845.1;Ontology_term=GO:0009274,GO:0019866,GO:0006578,GO:0006970;gbkey=CDS;gene=betA;go_component=peptidoglycan-based cell wall|0009274||,organelle inner membrane|0019866||;go_process=betaine biosynthetic process|0006578||,response to osmotic stress|0006970||;product=choline dehydrogenase%2C a flavoprotein;protein_id=NP_414845.1;transl_table=11	0.00034873345600331995	0.006339326801756383	0.021787804281436014	0.03793707731950048	0.039306630551317015	0.0633162185658561	0.013107926637908432	0.0026837628330907155	0.06736326442773855	0.11067317123785254	0.09168898197211332	0.08238042863136241	0.05297310302316275	0.047965081157109735	0.05999282094562704	0.05827052545309831	0.05659879860362103	0.061647140253229926	0.03335776457097656	0.018544294635774908	1.0	0
betB	sense	NC_000913.3	RefSeq	CDS	327261	328733	.	-	0	ID=cds310;Parent=gene323;Dbxref=ASAP:ABE-0001072,UniProtKB/Swiss-Prot:P17445,Genbank:NP_414846.1,EcoGene:EG10110,GeneID:947376;Name=NP_414846.1;Note=NAD+-dependent betaine aldehyde dehydrogenase;Ontology_term=GO:0006578,GO:0006970;gbkey=CDS;gene=betB;go_process=betaine biosynthetic process|0006578||,response to osmotic stress|0006970||;product=betaine aldehyde dehydrogenase%2C NAD-dependent;protein_id=NP_414846.1;transl_table=11	0.0006335210819754023	0.008926621884036702	0.04311300453027357	0.05939224562008805	0.055703762203831865	0.07761723799048342	0.019845516068328132	0.002906035561330564	0.10162947691894253	0.15116995247841578	0.12468467924590405	0.11889839224402153	0.07430413113534079	0.06002363248762515	0.06468493400891202	0.06453579361504466	0.05482285209671002	0.06572829481923914	0.03237581619483846	0.017320380253496387	1.0	0
betI	sense	NC_000913.3	RefSeq	CDS	328747	329334	.	-	0	ID=cds311;Parent=gene324;Dbxref=ASAP:ABE-0001076,UniProtKB/Swiss-Prot:P17446,Genbank:NP_414847.3,EcoGene:EG10111,GeneID:944981;Name=NP_414847.3;Note=probably transcriptional repressor of bet genes;Ontology_term=GO:0006350,GO:0006970,GO:0016564;gbkey=CDS;gene=betI;go_function=transcription repressor activity|0016564||;go_process=transcription|0006350||,response to osmotic stress|0006970||;product=choline-inducible betIBA-betT divergent operon transcriptional repressor;protein_id=NP_414847.3;transl_table=11	0.0019087261755626555	0.023457193214017503	0.10434497370726878	0.1913389482159107	0.21249222721676184	0.3252231586866405	0.06290208261624343	0.011016798676050323	0.3390493029568932	0.3619716834835103	0.29971130554288955	0.21793190259881529	0.15393625751754236	0.1244351135541944	0.11525742520757434	0.1009953318381043	0.07474857357766157	0.0992731328572512	0.0375554723654278	0.02220283319047517	1.0	4
betT	sense	NC_000913.3	RefSeq	CDS	329463	331496	.	+	0	ID=cds312;Parent=gene325;Dbxref=ASAP:ABE-0001080,UniProtKB/Swiss-Prot:P0ABC9,Genbank:NP_414848.1,EcoGene:EG10112,GeneID:945079;Name=NP_414848.1;Note=high-affinity choline transport;Ontology_term=GO:0009274,GO:0019866,GO:0006578;gbkey=CDS;gene=betT;go_component=peptidoglycan-based cell wall|0009274||,organelle inner membrane|0019866||;go_process=betaine biosynthetic process|0006578||;product=choline transporter of high affinity;protein_id=NP_414848.1;transl_table=11	0.003065433944566057	0.022178162075919116	0.12428745771319433	0.19629725343377605	0.1633466210358499	0.22538677339998284	0.04868500921118957	0.009892911888793463	0.2564631491796816	0.347496956449983	0.25348859313473915	0.1607123087642042	0.10034490813520007	0.13584994697973565	0.10412940042070946	0.11499920248934027	0.15042800932970055	0.19406732033724036	0.0890798420082346	0.04180364029149768	1.0	3
