Orientation of counted reads relative to the strand location of the annotation	Sequence name	Source	Feature	Start	End	Score	Strand	Frame	Attributes	Grad-00L.fastq	Grad-01.fastq	Grad-02.fastq	Grad-03.fastq	Grad-04.fastq	Grad-05.fastq	Grad-06.fastq	Grad-07.fastq	Grad-08.fastq	Grad-09.fastq	Grad-10.fastq	Grad-11.fastq	Grad-12.fastq	Grad-13.fastq	Grad-14.fastq	Grad-15.fastq	Grad-16.fastq	Grad-17.fastq	Grad-18.fastq	Grad-19.fastq	Grad-20.fastq	Grad-21P.fastq	gene	Name
sense	NC_000913.3	RefSeq	CDS	634747	635376	.	-	0	ID=cds599;Parent=gene617;Dbxref=ASAP:ABE-0002071,UniProtKB/Swiss-Prot:P77174,Genbank:NP_415134.1,EcoGene:EG13532,GeneID:945206;Name=NP_415134.1;gbkey=CDS;gene=ybdM;product=Spo0J family protein%2C ParB-like nuclease domain;protein_id=NP_415134.1;transl_table=11	23.0	0.0	10.0	6.0	6.0	4.0	10.0	6.0	3.0	5.0	6.0	18.0	7.0	5.0	5.0	7.0	9.0	5.0	12.0	7.0	16.0	24.0	ybdM	NP_415134.1
sense	NC_000913.3	RefSeq	CDS	635349	636569	.	-	0	ID=cds600;Parent=gene618;Dbxref=ASAP:ABE-0002073,UniProtKB/Swiss-Prot:P77216,Genbank:NP_415135.1,EcoGene:EG13533,GeneID:945205;Name=NP_415135.1;gbkey=CDS;gene=ybdN;product=PAPS reductase-like domain protein;protein_id=NP_415135.1;transl_table=11	37.0	0.0	2.0	2.0	2.0	1.0	5.0	5.0	1.0	5.0	4.0	13.0	6.0	4.0	3.0	3.0	3.0	3.0	3.0	4.0	6.0	6.0	ybdN	NP_415135.1
sense	NC_000913.3	RefSeq	CDS	636716	637618	.	-	0	ID=cds601;Parent=gene619;Dbxref=ASAP:ABE-0002077,UniProtKB/Swiss-Prot:P77746,Genbank:NP_415136.1,EcoGene:EG13534,GeneID:945216;Name=NP_415136.1;Note=putative transcriptional regulator LYSR-type;Ontology_term=GO:0006350,GO:0006355;gbkey=CDS;gene=ybdO;go_process=transcription|0006350||,regulation of transcription%2C DNA-dependent|0006355||;product=putative DNA-binding transcriptional regulator;protein_id=NP_415136.1;transl_table=11	14.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	8.0	ybdO	NP_415136.1
sense	NC_000913.3	RefSeq	CDS	637827	638573	.	-	0	ID=cds602;Parent=gene620;Dbxref=ASAP:ABE-0002084,UniProtKB/Swiss-Prot:P77202,Genbank:NP_415137.2,EcoGene:EG13535,GeneID:945224;Name=NP_415137.2;Note=thiol:disulfide interchange protein;Ontology_term=GO:0042597,GO:0006457;gbkey=CDS;gene=dsbG;go_component=periplasmic space|0042597||;go_process=protein folding|0006457||;product=thiol:disulfide interchange protein%2C periplasmic;protein_id=NP_415137.2;transl_table=11	20.0	1.0	1.0	1.0	6.0	5.0	3.0	10.0	5.0	11.0	20.0	31.0	16.0	13.0	15.0	6.0	10.0	11.0	22.0	17.0	26.0	46.0	dsbG	NP_415137.2
sense	NC_000913.3	RefSeq	CDS	638945	639508	.	+	0	ID=cds603;Parent=gene621;Dbxref=ASAP:ABE-0002090,UniProtKB/Swiss-Prot:P0AE08,Genbank:NP_415138.1,EcoGene:EG11384,GeneID:945225;Name=NP_415138.1;Note=alkyl hydroperoxide reductase%2C C22 subunit%3B detoxification of hydroperoxides;Ontology_term=GO:0006805;gbkey=CDS;gene=ahpC;go_process=xenobiotic metabolic process|0006805||;product=alkyl hydroperoxide reductase%2C C22 subunit;protein_id=NP_415138.1;transl_table=11	845.0	151.0	953.0	965.0	1318.0	1011.0	868.0	1046.0	616.0	1051.0	1600.0	1979.0	1901.0	1338.0	1201.0	1222.0	1002.0	1567.0	2979.0	3641.0	4726.0	10047.0	ahpC	NP_415138.1
sense	NC_000913.3	RefSeq	CDS	639753	641318	.	+	0	ID=cds604;Parent=gene622;Dbxref=ASAP:ABE-0002093,UniProtKB/Swiss-Prot:P35340,Genbank:NP_415139.2,EcoGene:EG11385,GeneID:947540;Name=NP_415139.2;Note=alkyl hydroperoxide reductase%2C F52a subunit%3B detoxification of hydroperoxides;Ontology_term=GO:0006805;gbkey=CDS;gene=ahpF;go_process=xenobiotic metabolic process|0006805||;product=alkyl hydroperoxide reductase%2C F52a subunit%2C FAD/NAD(P)-binding;protein_id=NP_415139.2;transl_table=11	163.0	35.0	141.0	140.0	259.0	225.0	240.0	216.0	98.0	180.0	222.0	236.0	179.0	161.0	108.0	133.0	123.0	183.0	295.0	345.0	401.0	1390.0	ahpF	NP_415139.2
sense	NC_000913.3	RefSeq	CDS	641439	641867	.	-	0	ID=cds605;Parent=gene623;Dbxref=ASAP:ABE-0002095,UniProtKB/Swiss-Prot:P39177,Genbank:NP_415140.1,EcoGene:EG12683,GeneID:945229;Name=NP_415140.1;experiment=N-terminus verified by Edman degradation: PMID 8740179%2C9298646%2C9600841;gbkey=CDS;gene=uspG;product=universal stress protein UP12;protein_id=NP_415140.1;transl_table=11	192.0	10.0	78.0	147.0	299.0	328.0	277.0	344.0	179.0	337.0	504.0	627.0	602.0	413.0	400.0	416.0	333.0	392.0	676.0	813.0	1001.0	1722.0	uspG	NP_415140.1
sense	NC_000913.3	RefSeq	CDS	642088	643326	.	+	0	ID=cds606;Parent=gene624;Dbxref=ASAP:ABE-0002099,UniProtKB/Swiss-Prot:P77316,Genbank:NP_415141.1,EcoGene:EG13537,GeneID:949067;Name=NP_415141.1;Note=putative oxidoreductase;gbkey=CDS;gene=ybdR;product=putative Zn-dependent NAD(P)-binding oxidoreductase;protein_id=NP_415141.1;transl_table=11	56.0	0.0	13.0	22.0	22.0	25.0	37.0	43.0	23.0	46.0	71.0	99.0	109.0	57.0	47.0	35.0	19.0	12.0	12.0	21.0	15.0	32.0	ybdR	NP_415141.1
sense	NC_000913.3	RefSeq	CDS	643557	643967	.	-	0	ID=cds607;Parent=gene625;Dbxref=ASAP:ABE-0002104,UniProtKB/Swiss-Prot:P0AFW4,Genbank:NP_415143.1,EcoGene:EG12637,GeneID:947546;Name=NP_415143.1;Ontology_term=GO:0015949;gbkey=CDS;gene=rnk;go_process=nucleobase%2C nucleoside and nucleotide interconversion|0015949||;product=regulator of nucleoside diphosphate kinase;protein_id=NP_415143.1;transl_table=11	25.0	2.0	23.0	47.0	78.0	69.0	63.0	65.0	49.0	77.0	111.0	146.0	117.0	75.0	61.0	59.0	41.0	55.0	80.0	117.0	151.0	103.0	rnk	NP_415143.1
sense	NC_000913.3	RefSeq	CDS	644197	645003	.	-	0	ID=cds608;Parent=gene626;Dbxref=ASAP:ABE-0002107,UniProtKB/Swiss-Prot:P21338,Genbank:NP_415144.1,EcoGene:EG10856,GeneID:949065;Name=NP_415144.1;Note=RNase I%2C cleaves phosphodiester bond between any two nucleotides;Ontology_term=GO:0005737,GO:0006401;gbkey=CDS;gene=rna;go_component=cytoplasm|0005737||;go_process=RNA catabolic process|0006401||;product=ribonuclease I;protein_id=NP_415144.1;transl_table=11	52.0	2.0	18.0	27.0	65.0	59.0	61.0	87.0	40.0	72.0	82.0	111.0	95.0	60.0	70.0	85.0	72.0	102.0	181.0	205.0	241.0	330.0	rna	NP_415144.1
sense	NC_000913.3	RefSeq	CDS	645117	646580	.	-	0	ID=cds609;Parent=gene627;Dbxref=ASAP:ABE-0002110,UniProtKB/Swiss-Prot:P0AE74,Genbank:NP_415145.1,EcoGene:EG13538,GeneID:949070;Name=NP_415145.1;Ontology_term=GO:0009274,GO:0019866,GO:0016052;gbkey=CDS;gene=citT;go_component=peptidoglycan-based cell wall|0009274||,organelle inner membrane|0019866||;go_process=carbohydrate catabolic process|0016052||;product=citrate/succinate antiporter%3B citrate carrier;protein_id=NP_415145.1;transl_table=11	39.0	0.0	6.0	4.0	8.0	4.0	6.0	7.0	4.0	10.0	4.0	5.0	4.0	1.0	1.0	1.0	1.0	2.0	0.0	0.0	1.0	3.0	citT	NP_415145.1
sense	NC_000913.3	RefSeq	CDS	646631	647509	.	-	0	ID=cds610;Parent=gene628;Dbxref=ASAP:ABE-0002114,UniProtKB/Swiss-Prot:P77231,Genbank:NP_415146.1,EcoGene:EG13539,GeneID:946395;Name=NP_415146.1;Ontology_term=GO:0006412;gbkey=CDS;gene=citG;go_process=translation|0006412||;product=2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase;protein_id=NP_415146.1;transl_table=11	10.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	1.0	0.0	0.0	citG	NP_415146.1
sense	NC_000913.3	RefSeq	CDS	647484	648035	.	-	0	ID=cds611;Parent=gene629;Dbxref=ASAP:ABE-0002116,UniProtKB/Swiss-Prot:P0A6G5,Genbank:NP_415147.1,EcoGene:EG13540,GeneID:949084;Name=NP_415147.1;Ontology_term=GO:0006464;gbkey=CDS;gene=citX;go_process=protein modification process|0006464||;product=apo-citrate lyase phosphoribosyl-dephospho-CoA transferase;protein_id=NP_415147.1;transl_table=11	13.0	5.0	11.0	11.0	11.0	5.0	9.0	5.0	1.0	4.0	7.0	4.0	3.0	1.0	1.0	3.0	1.0	3.0	1.0	1.0	2.0	2.0	citX	NP_415147.1
sense	NC_000913.3	RefSeq	CDS	648039	649571	.	-	0	ID=cds612;Parent=gene630;Dbxref=ASAP:ABE-0002119,UniProtKB/Swiss-Prot:P75726,Genbank:NP_415148.1,EcoGene:EG13541,GeneID:945230;Name=NP_415148.1;Note=citrate lyase alpha chain;Ontology_term=GO:0005737;gbkey=CDS;gene=citF;go_component=cytoplasm|0005737||;product=citrate lyase%2C citrate-ACP transferase (alpha) subunit;protein_id=NP_415148.1;transl_table=11	29.0	0.0	1.0	8.0	7.0	3.0	2.0	5.0	1.0	1.0	2.0	3.0	0.0	2.0	0.0	1.0	1.0	0.0	0.0	0.0	3.0	3.0	citF	NP_415148.1
sense	NC_000913.3	RefSeq	CDS	649582	650490	.	-	0	ID=cds613;Parent=gene631;Dbxref=ASAP:ABE-0002122,UniProtKB/Swiss-Prot:P0A9I1,Genbank:NP_415149.4,EcoGene:EG13542,GeneID:945406;Name=NP_415149.4;Ontology_term=GO:0005737;gbkey=CDS;gene=citE;go_component=cytoplasm|0005737||;product=citrate lyase%2C citryl-ACP lyase (beta) subunit;protein_id=NP_415149.4;transl_table=11	15.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	1.0	citE	NP_415149.4
sense	NC_000913.3	RefSeq	CDS	650487	650783	.	-	0	ID=cds614;Parent=gene632;Dbxref=ASAP:ABE-0002124,UniProtKB/Swiss-Prot:P69330,Genbank:NP_415150.1,EcoGene:EG13543,GeneID:945415;Name=NP_415150.1;Note=citrate lyase acyl carrier protein (gamma chain);Ontology_term=GO:0005737,GO:0042967;gbkey=CDS;gene=citD;go_component=cytoplasm|0005737||;go_process=acyl-carrier-protein biosynthetic process|0042967||;product=citrate lyase%2C acyl carrier (gamma) subunit;protein_id=NP_415150.1;transl_table=11	5.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	citD	NP_415150.1
sense	NC_000913.3	RefSeq	CDS	650798	651856	.	-	0	ID=cds615;Parent=gene633;Dbxref=ASAP:ABE-0002126,UniProtKB/Swiss-Prot:P77390,Genbank:NP_415151.4,EcoGene:EG13645,GeneID:945231;Name=NP_415151.4;Note=citrate lyase synthetase (citrate (pro-3S)-lyase ligase;Ontology_term=GO:0005737,GO:0006464;gbkey=CDS;gene=citC;go_component=cytoplasm|0005737||;go_process=protein modification process|0006464||;product=citrate lyase ligase%3B [citrate [pro-3S]-lyase] ligase;protein_id=NP_415151.4;transl_table=11	17.0	0.0	1.0	0.0	2.0	2.0	1.0	1.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	citC	NP_415151.4
sense	NC_000913.3	RefSeq	CDS	652235	653893	.	+	0	ID=cds616;Parent=gene634;Dbxref=ASAP:ABE-0002129,UniProtKB/Swiss-Prot:P77510,Genbank:NP_415152.1,EcoGene:EG13646,GeneID:945233;Name=NP_415152.1;Note=putative sensor-type protein;Ontology_term=GO:0009274,GO:0019866,GO:0006464;gbkey=CDS;gene=citA;go_component=peptidoglycan-based cell wall|0009274||,organelle inner membrane|0019866||;go_process=protein modification process|0006464||;product=sensory histidine kinase in two-component regulatory system with CitB;protein_id=NP_415152.1;transl_table=11	89.0	3.0	22.0	35.0	57.0	54.0	47.0	51.0	44.0	49.0	76.0	89.0	56.0	33.0	19.0	15.0	11.0	15.0	20.0	22.0	18.0	33.0	citA	NP_415152.1
sense	NC_000913.3	RefSeq	CDS	653862	654542	.	+	0	ID=cds617;Parent=gene635;Dbxref=ASAP:ABE-0002131,UniProtKB/Swiss-Prot:P0AEF4,Genbank:NP_415153.1,EcoGene:EG13544,GeneID:947008;Name=NP_415153.1;Note=sequence similarity to Shigella regulator;Ontology_term=GO:0005737,GO:0006350,GO:0016563;gbkey=CDS;gene=citB;go_component=cytoplasm|0005737||;go_function=transcription activator activity|0016563||;go_process=transcription|0006350||;product=response regulator in two-component regulatory system with CitA;protein_id=NP_415153.1;transl_table=11	9.0	1.0	3.0	6.0	4.0	6.0	2.0	12.0	3.0	11.0	7.0	14.0	12.0	6.0	7.0	5.0	5.0	5.0	12.0	20.0	22.0	14.0	citB	NP_415153.1
sense	NC_000913.3	RefSeq	CDS	654583	655968	.	-	0	ID=cds618;Parent=gene636;Dbxref=ASAP:ABE-0002133,UniProtKB/Swiss-Prot:P0ABP3,Genbank:NP_415154.1,EcoGene:EG13545,GeneID:945000;Name=NP_415154.1;Note=transport of dicarboxylates;Ontology_term=GO:0009274,GO:0019866,GO:0016052;gbkey=CDS;gene=dcuC;go_component=peptidoglycan-based cell wall|0009274||,organelle inner membrane|0019866||;go_process=carbohydrate catabolic process|0016052||;product=anaerobic C4-dicarboxylate transport;protein_id=NP_415154.1;transl_table=11	62.0	10.0	37.0	34.0	43.0	45.0	35.0	45.0	20.0	42.0	48.0	78.0	48.0	27.0	21.0	20.0	11.0	27.0	43.0	52.0	58.0	115.0	dcuC	NP_415154.1
sense	NC_000913.3	RefSeq	CDS	656557	657117	.	+	0	ID=cds619;Parent=gene637;Dbxref=ASAP:ABE-0002139,UniProtKB/Swiss-Prot:P37001,Genbank:NP_415155.1,EcoGene:EG12180,GeneID:946360;Name=NP_415155.1;gbkey=CDS;gene=pagP;product=phospholipid:lipid A palmitoyltransferase;protein_id=NP_415155.1;transl_table=11	18.0	0.0	1.0	1.0	2.0	0.0	1.0	2.0	2.0	1.0	4.0	4.0	3.0	1.0	0.0	6.0	2.0	2.0	4.0	1.0	2.0	3.0	pagP	NP_415155.1
sense	NC_000913.3	RefSeq	CDS	657292	657501	.	+	0	ID=cds620;Parent=gene638;Dbxref=ASAP:ABE-0002142,UniProtKB/Swiss-Prot:P0A972,Genbank:NP_415156.1,EcoGene:EG12179,GeneID:947024;Name=NP_415156.1;Note=cold shock protein;Ontology_term=GO:0005737,GO:0006350,GO:0009266,GO:0016563;gbkey=CDS;gene=cspE;go_component=cytoplasm|0005737||;go_function=transcription activator activity|0016563||;go_process=transcription|0006350||,response to temperature stimulus|0009266||;product=constitutive cold shock family transcription antitermination protein%3B negative regulator of cspA transcription%3B RNA melting protein%3B ssDNA-binding protein;protein_id=NP_415156.1;transl_table=11	623.0	31.0	317.0	820.0	1690.0	1535.0	1498.0	1738.0	904.0	1590.0	2100.0	2628.0	2485.0	1958.0	1802.0	1883.0	1484.0	1683.0	2671.0	3045.0	3592.0	2049.0	cspE	NP_415156.1
sense	NC_000913.3	RefSeq	CDS	657555	657938	.	-	0	ID=cds621;Parent=gene639;Dbxref=ASAP:ABE-0002144,UniProtKB/Swiss-Prot:P37002,Genbank:NP_415157.1,EcoGene:EG12209,GeneID:945798;Name=NP_415157.1;Ontology_term=GO:0009274;gbkey=CDS;gene=flc;go_component=peptidoglycan-based cell wall|0009274||;product=fluoride efflux channel%2C dual topology membrane protein;protein_id=NP_415157.1;transl_table=11	28.0	0.0	7.0	9.0	12.0	23.0	21.0	27.0	14.0	25.0	40.0	49.0	29.0	18.0	12.0	28.0	17.0	32.0	68.0	72.0	77.0	58.0	flc	NP_415157.1
sense	NC_000913.3	RefSeq	CDS	658031	658225	.	+	0	ID=cds622;Parent=gene640;Dbxref=ASAP:ABE-0002148,ASAP:ABE-0002150,ASAP:ABE-0285113,UniProtKB/Swiss-Prot:P39874,EcoGene:EG13162,GeneID:4056041;Note=pseudogene%2C C-N hydrolase superfamily homology%3Bputative enzyme%3B Not classified~putative amidase;gbkey=CDS;gene=ybeM;pseudo=true;transl_table=11	16.0	0.0	6.0	18.0	15.0	24.0	28.0	23.0	12.0	23.0	59.0	59.0	49.0	32.0	27.0	26.0	16.0	10.0	24.0	26.0	21.0	16.0	ybeM	
sense	NC_000913.3	RefSeq	CDS	658225	658818	.	+	0	ID=cds622;Parent=gene640;Dbxref=ASAP:ABE-0002148,ASAP:ABE-0002150,ASAP:ABE-0285113,UniProtKB/Swiss-Prot:P39874,EcoGene:EG13162,GeneID:4056041;Note=pseudogene%2C C-N hydrolase superfamily homology%3Bputative enzyme%3B Not classified~putative amidase;gbkey=CDS;gene=ybeM;pseudo=true;transl_table=11	36.0	4.0	16.0	26.0	32.0	32.0	35.0	30.0	20.0	40.0	53.0	40.0	53.0	31.0	18.0	26.0	14.0	28.0	46.0	44.0	37.0	37.0	ybeM	
sense	NC_000913.3	RefSeq	CDS	658947	659150	.	+	0	ID=cds623;Parent=gene641;Dbxref=ASAP:ABE-0002153,UniProtKB/Swiss-Prot:P0A843,Genbank:NP_415160.1,EcoGene:EG11305,GeneID:945228;Name=NP_415160.1;Ontology_term=GO:0009274,GO:0019866;gbkey=CDS;gene=tatE;go_component=peptidoglycan-based cell wall|0009274||,organelle inner membrane|0019866||;product=TatABCE protein translocation system subunit;protein_id=NP_415160.1;transl_table=11	45.0	5.0	45.0	78.0	112.0	105.0	100.0	92.0	38.0	81.0	117.0	134.0	113.0	95.0	66.0	69.0	61.0	77.0	115.0	88.0	125.0	107.0	tatE	NP_415160.1
sense	NC_000913.3	RefSeq	CDS	659251	660216	.	-	0	ID=cds624;Parent=gene642;Dbxref=ASAP:ABE-0002155,UniProtKB/Swiss-Prot:P60716,Genbank:NP_415161.1,EcoGene:EG11306,GeneID:945227;Name=NP_415161.1;Note=lipoate synthesis%2C sulfur insertion?;Ontology_term=GO:0005737,GO:0009107;gbkey=CDS;gene=lipA;go_component=cytoplasm|0005737||;go_process=lipoate biosynthetic process|0009107||;product=lipoate synthase;protein_id=NP_415161.1;transl_table=11	241.0	80.0	224.0	273.0	453.0	333.0	340.0	357.0	238.0	291.0	326.0	414.0	444.0	343.0	305.0	340.0	322.0	445.0	806.0	909.0	1156.0	2659.0	lipA	NP_415161.1
sense	NC_000913.3	RefSeq	CDS	660425	661378	.	-	0	ID=cds625;Parent=gene643;Dbxref=ASAP:ABE-0002158,UniProtKB/Swiss-Prot:P30979,Genbank:NP_415162.4,EcoGene:EG11594,GeneID:945219;Name=NP_415162.4;Note=putative transcriptional regulator LYSR-type;Ontology_term=GO:0006350,GO:0016563,GO:0016564;gbkey=CDS;gene=ybeF;go_function=transcription activator activity|0016563||,transcription repressor activity|0016564||;go_process=transcription|0006350||;product=LysR family putative transcriptional regulator;protein_id=NP_415162.4;transl_table=11	24.0	0.0	0.0	1.0	3.0	1.0	2.0	2.0	1.0	1.0	1.0	2.0	5.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	3.0	0.0	ybeF	NP_415162.4
sense	NC_000913.3	RefSeq	CDS	661637	662278	.	-	0	ID=cds626;Parent=gene644;Dbxref=ASAP:ABE-0002160,UniProtKB/Swiss-Prot:P60720,Genbank:NP_415163.2,EcoGene:EG11591,GeneID:945217;Name=NP_415163.2;Note=protein of lipoate biosynthesis;Ontology_term=GO:0009107;gbkey=CDS;gene=lipB;go_process=lipoate biosynthetic process|0009107||;product=octanoyltransferase%3B octanoyl-[ACP]:protein N-octanoyltransferase;protein_id=NP_415163.2;transl_table=11	26.0	1.0	3.0	5.0	26.0	11.0	15.0	18.0	12.0	20.0	27.0	32.0	22.0	19.0	14.0	12.0	18.0	32.0	47.0	54.0	49.0	49.0	lipB	NP_415163.2
sense	NC_000913.3	RefSeq	CDS	662379	662642	.	-	0	ID=cds627;Parent=gene645;Dbxref=ASAP:ABE-0002162,UniProtKB/Swiss-Prot:P0A8J4,Genbank:NP_415164.1,EcoGene:EG11592,GeneID:945220;Name=NP_415164.1;gbkey=CDS;gene=ybeD;product=UPF0250 family protein;protein_id=NP_415164.1;transl_table=11	93.0	11.0	55.0	69.0	103.0	79.0	92.0	99.0	65.0	92.0	150.0	202.0	161.0	123.0	141.0	193.0	192.0	246.0	440.0	535.0	674.0	629.0	ybeD	NP_415164.1
sense	NC_000913.3	RefSeq	CDS	662752	663963	.	-	0	ID=cds628;Parent=gene646;Dbxref=ASAP:ABE-0002168,UniProtKB/Swiss-Prot:P0AEB2,Genbank:NP_415165.1,EcoGene:EG10201,GeneID:945222;Name=NP_415165.1;Note=D-alanyl-D-alanine carboxypeptidase%2C fraction A%3B penicillin-binding protein 5;Ontology_term=GO:0019866,GO:0042493;gbkey=CDS;gene=dacA;go_component=organelle inner membrane|0019866||;go_process=response to drug|0042493||;product=D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein 5);protein_id=NP_415165.1;transl_table=11	80.0	13.0	49.0	55.0	79.0	64.0	69.0	62.0	29.0	53.0	64.0	75.0	76.0	39.0	37.0	52.0	42.0	81.0	147.0	136.0	137.0	223.0	dacA	NP_415165.1
sense	NC_000913.3	RefSeq	CDS	664102	665190	.	-	0	ID=cds629;Parent=gene647;Dbxref=ASAP:ABE-0002171,UniProtKB/Swiss-Prot:P10100,Genbank:NP_415166.1,EcoGene:EG10854,GeneID:945241;Name=NP_415166.1;Note=a minor lipoprotein;Ontology_term=GO:0009274,GO:0019866;gbkey=CDS;gene=rlpA;go_component=peptidoglycan-based cell wall|0009274||,organelle inner membrane|0019866||;product=septal ring protein%2C suppressor of prc%2C minor lipoprotein;protein_id=NP_415166.1;transl_table=11	77.0	27.0	71.0	122.0	173.0	176.0	165.0	169.0	91.0	183.0	284.0	344.0	228.0	181.0	146.0	142.0	143.0	135.0	245.0	254.0	254.0	444.0	rlpA	NP_415166.1
sense	NC_000913.3	RefSeq	CDS	665201	666313	.	-	0	ID=cds630;Parent=gene648;Dbxref=ASAP:ABE-0002173,UniProtKB/Swiss-Prot:P0ABG7,Genbank:NP_415167.1,EcoGene:EG10607,GeneID:945238;Name=NP_415167.1;Note=rod shape-determining membrane protein%3B sensitivity to radiation and drugs;Ontology_term=GO:0009274,GO:0019866;gbkey=CDS;gene=mrdB;go_component=peptidoglycan-based cell wall|0009274||,organelle inner membrane|0019866||;product=cell wall shape-determining protein;protein_id=NP_415167.1;transl_table=11	100.0	20.0	47.0	62.0	105.0	129.0	128.0	127.0	52.0	151.0	205.0	257.0	184.0	151.0	106.0	98.0	55.0	73.0	129.0	130.0	130.0	172.0	mrdB	NP_415167.1
sense	NC_000913.3	RefSeq	CDS	666316	668217	.	-	0	ID=cds631;Parent=gene649;Dbxref=ASAP:ABE-0002178,UniProtKB/Swiss-Prot:P0AD65,Genbank:NP_415168.1,EcoGene:EG10606,GeneID:945240;Name=NP_415168.1;Note=cell elongation%2C e phase%3B peptidoglycan synthetase%3B penicillin-binding protein 2;Ontology_term=GO:0009274,GO:0019866,GO:0009252,GO:0042493;experiment=N-terminus verified by Edman degradation: PMID 3533535;gbkey=CDS;gene=mrdA;go_component=peptidoglycan-based cell wall|0009274||,organelle inner membrane|0019866||;go_process=peptidoglycan biosynthetic process|0009252||,response to drug|0042493||;product=penicillin-binding protein 2%2C transpeptidase involved in peptidoglycan synthesis;protein_id=NP_415168.1;transl_table=11	60.0	6.0	19.0	18.0	47.0	43.0	50.0	45.0	33.0	43.0	54.0	61.0	48.0	23.0	29.0	26.0	23.0	39.0	58.0	51.0	50.0	40.0	mrdA	NP_415168.1
sense	NC_000913.3	RefSeq	CDS	668248	668715	.	-	0	ID=cds632;Parent=gene650;Dbxref=ASAP:ABE-0002180,UniProtKB/Swiss-Prot:P0A8I8,Genbank:NP_415169.1,EcoGene:EG11254,GeneID:945239;Name=NP_415169.1;gbkey=CDS;gene=rlmH;product=23S rRNA m(3)Psi1915 pseudouridine methyltransferase%2C SAM-dependent;protein_id=NP_415169.1;transl_table=11	37.0	6.0	13.0	18.0	31.0	36.0	43.0	55.0	18.0	34.0	27.0	48.0	28.0	24.0	18.0	21.0	10.0	34.0	47.0	48.0	44.0	32.0	rlmH	NP_415169.1
sense	NC_000913.3	RefSeq	CDS	668719	669036	.	-	0	ID=cds633;Parent=gene651;Dbxref=ASAP:ABE-0002183,UniProtKB/Swiss-Prot:P0AAT6,Genbank:NP_415170.4,EcoGene:EG11255,GeneID:945237;Name=NP_415170.4;gbkey=CDS;gene=rsfS;product=ribosomal silencing factor;protein_id=NP_415170.4;transl_table=11	26.0	3.0	9.0	19.0	33.0	36.0	40.0	51.0	17.0	54.0	76.0	84.0	79.0	43.0	37.0	32.0	28.0	35.0	64.0	50.0	57.0	42.0	rsfS	NP_415170.4
sense	NC_000913.3	RefSeq	CDS	669296	669907	.	-	0	ID=cds634;Parent=gene652;Dbxref=ASAP:ABE-0002185,UniProtKB/Swiss-Prot:P52086,Genbank:NP_415171.1,EcoGene:EG13240,GeneID:945246;Name=NP_415171.1;Note=homolog of Salmonella cobC%2C a phosphohistidine protein;gbkey=CDS;gene=cobC;product=putative alpha-ribazole-5'-P phosphatase;protein_id=NP_415171.1;transl_table=11	27.0	1.0	8.0	6.0	8.0	17.0	17.0	23.0	11.0	19.0	17.0	32.0	37.0	7.0	11.0	16.0	13.0	20.0	27.0	34.0	24.0	21.0	cobC	NP_415171.1
sense	NC_000913.3	RefSeq	CDS	669931	670572	.	-	0	ID=cds635;Parent=gene653;Dbxref=ASAP:ABE-0002187,UniProtKB/Swiss-Prot:P0A752,Genbank:NP_415172.1,EcoGene:EG13241,GeneID:945248;Name=NP_415172.1;Ontology_term=GO:0009435;gbkey=CDS;gene=nadD;go_process=NAD biosynthetic process|0009435||;product=nicotinic acid mononucleotide adenylyltransferase%2C NAD(P)-dependent;protein_id=NP_415172.1;transl_table=11	35.0	5.0	25.0	34.0	53.0	51.0	46.0	61.0	25.0	45.0	67.0	91.0	67.0	44.0	46.0	42.0	41.0	54.0	75.0	74.0	68.0	74.0	nadD	NP_415172.1
sense	NC_000913.3	RefSeq	CDS	670574	671605	.	-	0	ID=cds636;Parent=gene654;Dbxref=ASAP:ABE-0002192,UniProtKB/Swiss-Prot:P28630,Genbank:NP_415173.1,EcoGene:EG11412,GeneID:947573;Name=NP_415173.1;Ontology_term=GO:0005737,GO:0006261;experiment=N-terminus verified by Edman degradation: PMID 1400251%2C8505303;gbkey=CDS;gene=holA;go_component=cytoplasm|0005737||;go_process=DNA-dependent DNA replication|0006261||;product=DNA polymerase III%2C delta subunit;protein_id=NP_415173.1;transl_table=11	53.0	22.0	86.0	83.0	155.0	115.0	113.0	119.0	54.0	86.0	102.0	99.0	97.0	75.0	66.0	54.0	51.0	109.0	147.0	139.0	177.0	154.0	holA	NP_415173.1
